doc_id,dataset,relative_path,dataset_relative_path,file_name,stem,extension,size_bytes,modified_time,md5,sha256
DOC-00001,DHF,DHF -梳理版/01 立项批准书E0/客户需求书(封面)E0.doc,01 立项批准书E0/客户需求书(封面)E0.doc,客户需求书(封面)E0.doc,客户需求书(封面)E0,doc,71168,2026-04-21T00:47:06+00:00,762b8b306ee72de6f349be897daaaf20,563911f987dfb7e6bf452f51a6a5e82bf685aff38a65b535987bc032df0b3e85
DOC-00002,DHF,DHF -梳理版/01 立项批准书E0/客户需求书E0.xls,01 立项批准书E0/客户需求书E0.xls,客户需求书E0.xls,客户需求书E0,xls,143872,2026-04-21T01:08:48+00:00,955d8450106fb6c91b80feeadb507872,dcc65bb23a865240e71171efbdf24f0f40f12ee6afefe367d9a0a80b1a575bc1
DOC-00003,DHF,DHF -梳理版/01 立项批准书E0/客户需求评审单E0.doc,01 立项批准书E0/客户需求评审单E0.doc,客户需求评审单E0.doc,客户需求评审单E0,doc,60416,2026-04-21T00:48:40+00:00,8fc9b9beaa57eafa7c1ca3cf00c15017,34b11d41d3cd5bcf5d8c37c1b4b1e5d53b2ab00cd52a70a5cfd58fb8f1fba189
DOC-00004,DHF,DHF -梳理版/01 立项批准书E0/立项批准书E0.doc,01 立项批准书E0/立项批准书E0.doc,立项批准书E0.doc,立项批准书E0,doc,79360,2026-04-21T01:09:48+00:00,c4b71c6d777df4ce8000258cf6de0135,6975d913388ccdf045d1fc9a6ae5cb036e40da484135096c8e890a333bab84b3
DOC-00005,DHF,DHF -梳理版/02 开发计划E0/设计开发计划(封面)E0.doc,02 开发计划E0/设计开发计划(封面)E0.doc,设计开发计划(封面)E0.doc,设计开发计划(封面)E0,doc,56832,2025-09-16T00:55:38+00:00,99363267dc0b33453aa9474c968082a5,8afd4734d5515d6cf181cf7b97b4af7546b526cd47beff12c4367582795d538e
DOC-00006,DHF,DHF -梳理版/02 开发计划E0/设计开发计划表E0.xls,02 开发计划E0/设计开发计划表E0.xls,设计开发计划表E0.xls,设计开发计划表E0,xls,104448,2026-04-21T01:12:32+00:00,4991ac46117978f0cacd69c11d6692d5,c6016631f643f56f19e1b11588e280c61c608a90b76c0412fbe1fbaead739b33
DOC-00007,DHF,DHF -梳理版/02 开发计划E0/设计开发计划评审表E0.doc,02 开发计划E0/设计开发计划评审表E0.doc,设计开发计划评审表E0.doc,设计开发计划评审表E0,doc,101888,2026-04-21T01:14:12+00:00,c0472f45d1bd258398164af5b1326ce0,165632409785053c17ed612c55c9e58b3413f6253c77879ad0e44b9b07cad709
DOC-00008,DHF,DHF -梳理版/02 开发计划E0/项目组成员名单E0.doc,02 开发计划E0/项目组成员名单E0.doc,项目组成员名单E0.doc,项目组成员名单E0,doc,39936,2025-09-16T00:55:36+00:00,1d327f166facd4e8f04878808c6f013e,5f590644ea5ee987b99fefe8777113d4c871bea718e51d84a5c92ec8174259e6
DOC-00009,DHF,DHF -梳理版/02 开发计划E0/项目进度表.pdf,02 开发计划E0/项目进度表.pdf,项目进度表.pdf,项目进度表,pdf,141661,2025-09-16T00:55:38+00:00,d2c03d07e153e8103f5b5e92b77635e5,7366ce56060176b584cc41276af3065f8109e95f983d30d0c37c4936b659ca1b
DOC-00010,DHF,DHF -梳理版/03 风险/PT9L--Attachment 7 01 Risk Management Plan PT9L-FXJH01 V1.0.docx,03 风险/PT9L--Attachment 7 01 Risk Management Plan PT9L-FXJH01 V1.0.docx,PT9L--Attachment 7 01 Risk Management Plan PT9L-FXJH01 V1.0.docx,PT9L--Attachment 7 01 Risk Management Plan PT9L-FXJH01 V1.0,docx,57414,2026-04-21T01:23:24+00:00,6556f088c7af3d4e7d11fedcd5bc01f8,0575f2c5307ce3ccc985f9a1fa240eda514fa756e1bd8287e81314b0ab9f5a1c
DOC-00011,DHF,DHF -梳理版/03 风险/PT9L--Attachment 7 02 Risk Assessment Report PT9L-FXPJ01 V1.0.docx,03 风险/PT9L--Attachment 7 02 Risk Assessment Report PT9L-FXPJ01 V1.0.docx,PT9L--Attachment 7 02 Risk Assessment Report PT9L-FXPJ01 V1.0.docx,PT9L--Attachment 7 02 Risk Assessment Report PT9L-FXPJ01 V1.0,docx,97389,2026-04-21T07:08:36+00:00,e87a842b17baf3356d3a696a47f2bea0,5629e24e2ee17cf7a019fb8a4e99e871b7a8ab04f6c68992a6a7a0987cd5eb4e
DOC-00012,DHF,DHF -梳理版/04 设计输入E0/设计评审计划表-设计输入E0.doc,04 设计输入E0/设计评审计划表-设计输入E0.doc,设计评审计划表-设计输入E0.doc,设计评审计划表-设计输入E0,doc,39424,2026-04-21T07:09:44+00:00,c11c28ceb6ec61c1e68963939bdfa1af,2b237ff11f74c25206fca6e2cbe7ae4872dd3412d87a46ca89cc9fbad327531c
DOC-00013,DHF,DHF -梳理版/04 设计输入E0/设计输入(封面)E0.doc,04 设计输入E0/设计输入(封面)E0.doc,设计输入(封面)E0.doc,设计输入(封面)E0,doc,58368,2025-09-16T00:55:52+00:00,0e03c571a893510f64714c0c82f9579a,a568152532cdc9d492aef3c1a4bdc013d418c3597bc516bff60f3f25b81ae9c7
DOC-00014,DHF,DHF -梳理版/04 设计输入E0/设计输入汇总表E0.xls,04 设计输入E0/设计输入汇总表E0.xls,设计输入汇总表E0.xls,设计输入汇总表E0,xls,957952,2026-04-21T01:46:40+00:00,1348a35b7b9b317843dcaf4fd0629db1,6618cb98a7ce2c9e19c962b1250f9998d7d6b5bb14abf204ce0a43afbb41825b
DOC-00015,DHF,DHF -梳理版/04 设计输入E0/设计输入评审检查表.xls,04 设计输入E0/设计输入评审检查表.xls,设计输入评审检查表.xls,设计输入评审检查表,xls,125952,2026-04-21T01:53:50+00:00,fa2076b2e945a264db1950cebcd3264f,57409178a8d21967ece26b3827c9ab7efb12505a80736b7a08886d865dc49fc7
DOC-00016,DHF,DHF -梳理版/04 设计输入E0/设计输入评审记录.doc,04 设计输入E0/设计输入评审记录.doc,设计输入评审记录.doc,设计输入评审记录,doc,43520,2025-09-16T00:55:52+00:00,e74951903980a7da71262a7a16479483,0022a3648e5443cbb1c9624b9bf6c3a37243e62551c89f307c8a989940577307
DOC-00017,DHF,DHF -梳理版/05 结构方案阶段及图样E0/结构图样阶段E0/结构图样评审检查表E0.xls,05 结构方案阶段及图样E0/结构图样阶段E0/结构图样评审检查表E0.xls,结构图样评审检查表E0.xls,结构图样评审检查表E0,xls,31744,2026-04-21T02:38:40+00:00,78b80378bfa46851fdc88e367c918dc7,9d26a75f8a8077749fe7864c9e1b9adbe0a29b928046fd44b90ab6c7f242e145
DOC-00018,DHF,DHF -梳理版/05 结构方案阶段及图样E0/结构图样阶段E0/设计评审计划表E0.doc,05 结构方案阶段及图样E0/结构图样阶段E0/设计评审计划表E0.doc,设计评审计划表E0.doc,设计评审计划表E0,doc,39936,2026-04-21T02:37:48+00:00,d6ab824784f5d012ad91964ae6a7d1b3,a8cbb434d2dfacc2ccfa6511b1ba2804cfe44e1ba5d32f795a2151d3591aa999
DOC-00019,DHF,DHF -梳理版/05 结构方案阶段及图样E0/结构图样阶段E0/设计评审记录E0.doc,05 结构方案阶段及图样E0/结构图样阶段E0/设计评审记录E0.doc,设计评审记录E0.doc,设计评审记录E0,doc,231424,2025-09-16T00:57:36+00:00,441b8b5abfc9afa4c9fa3be57f8b2654,f6e64a2430b57eb455ca7850b2cddb4b38aa240aa6d604206196d49c7dd00886
DOC-00020,DHF,DHF -梳理版/05 结构方案阶段及图样E0/结构设计方案E0.doc,05 结构方案阶段及图样E0/结构设计方案E0.doc,结构设计方案E0.doc,结构设计方案E0,doc,20766,2025-09-16T00:56:36+00:00,462b0c4a081fd53d5f0f2b6a68f0c55e,abc23e667b7fc72e216010a1c89b6268929b4b03c8508c1b5a04bf6379aab9ee
DOC-00021,DHF,DHF -梳理版/05 结构方案阶段及图样E0/结构设计方案评审检查表.xls,05 结构方案阶段及图样E0/结构设计方案评审检查表.xls,结构设计方案评审检查表.xls,结构设计方案评审检查表,xls,24576,2025-09-16T00:56:36+00:00,132bdf4fc58694da7f0dbada3b0bc23c,b893436aaf82d7773eae385450b72556636516ab536e53e15dfbcd86cf6b372d
DOC-00022,DHF,DHF -梳理版/05 结构方案阶段及图样E0/设计评审计划表-方案评审E0.doc,05 结构方案阶段及图样E0/设计评审计划表-方案评审E0.doc,设计评审计划表-方案评审E0.doc,设计评审计划表-方案评审E0,doc,25600,2025-09-16T00:56:36+00:00,5cb17e9b4171a5b8f82640929a40c572,732313ec1568ed95de8366e55f3349bfd7e557e891298cd1612fa26fc57371a3
DOC-00023,DHF,DHF -梳理版/05 结构方案阶段及图样E0/设计评审记录E0.doc,05 结构方案阶段及图样E0/设计评审记录E0.doc,设计评审记录E0.doc,设计评审记录E0,doc,216064,2026-04-21T01:57:30+00:00,de682aba2e1ba2712cc89596c1ddf4c0,db15bf4db2a47600e0220d1bc7d9cb6bbaf75ec6bb4df952f1d490d5e316d8dc
